primary_country,total_content,movies,tv_shows
United States,3211,2364,847
India,1008,927,81
United Kingdom,628,382,246
Canada,271,187,84
Japan,259,85,174
France,212,148,64
South Korea,211,47,164
Spain,181,129,52
Mexico,134,86,48
Australia,117,61,56
Egypt,112,98,14
Turkey,111,81,30
Germany,103,78,25
China,100,59,41
Nigeria,96,87,9
